segment_id,chainage_range_m,structure_context,susceptibility_component_band,terrain_component_band,geological_component_band,surface_drainage_band,confidence_component,principal_contributing_features,human_readable_interpretation,disclaimer_notice
NH44_SEG_077,38000.0m - 38500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_078,38500.0m - 39000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_079,39000.0m - 39500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_080,39500.0m - 40000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_081,40000.0m - 40500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_082,40500.0m - 41000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_083,41000.0m - 41500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_084,41500.0m - 42000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_085,42000.0m - 42500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_086,42500.0m - 43000.0m,Bridge,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_087,43000.0m - 43500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_088,43500.0m - 44000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_089,44000.0m - 44500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_090,44500.0m - 45000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_091,45000.0m - 45500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_092,45500.0m - 46000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_093,46000.0m - 46500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_094,46500.0m - 47000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_095,47000.0m - 47500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_096,47500.0m - 48000.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_097,48000.0m - 48500.0m,Open Road,MODERATE,MODERATE,MODERATE,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_098,48500.0m - 49000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_099,49000.0m - 49500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_100,49500.0m - 50000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_101,50000.0m - 50500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_102,50500.0m - 51000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_103,51000.0m - 51500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_104,51500.0m - 52000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_105,52000.0m - 52500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_106,52500.0m - 53000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_107,53000.0m - 53500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_108,53500.0m - 54000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_109,54000.0m - 54500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_110,54500.0m - 55000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_111,55000.0m - 55500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_112,55500.0m - 56000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_113,56000.0m - 56500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_114,56500.0m - 57000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_115,57000.0m - 57500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_116,57500.0m - 58000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_117,58000.0m - 58500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_118,58500.0m - 59000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_119,59000.0m - 59500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_120,59500.0m - 60000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_121,60000.0m - 60500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_122,60500.0m - 61000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_123,61000.0m - 61500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_124,61500.0m - 62000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_125,62000.0m - 62500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_126,62500.0m - 63000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_127,63000.0m - 63500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_128,63500.0m - 64000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_129,64000.0m - 64500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_130,64500.0m - 65000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_131,65000.0m - 65500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_132,65500.0m - 66000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_133,66000.0m - 66500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_134,66500.0m - 67000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_135,67000.0m - 67500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_136,67500.0m - 68000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_137,68000.0m - 68500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_138,68500.0m - 69000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_139,69000.0m - 69500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_140,69500.0m - 70000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_141,70000.0m - 70500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_142,70500.0m - 71000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_143,71000.0m - 71500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_144,71500.0m - 72000.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_145,72000.0m - 72500.0m,Open Road,MODERATE,MODERATE,LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_146,72500.0m - 73000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_147,73000.0m - 73500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_148,73500.0m - 74000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_149,74000.0m - 74500.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_150,74500.0m - 75000.0m,Open Road,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_151,75000.0m - 75500.0m,Tunnel,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_152,75500.0m - 76000.0m,Tunnel,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
NH44_SEG_153,76000.0m - 76500.0m,Tunnel,MODERATE,MODERATE,VERY_LOW,MODERATE,HIGH_CONFIDENCE,"Mean slope: nan°, Susceptibility mean: nan",This segment lies in the MODERATE percentile band for static susceptibility and MODERATE band for terrain steepness along the pilot corridor.,Component bands indicate relative position within Udhampur-Banihal pilot corridor and are not operational landslide-warning thresholds.
