feature_name,feature_family,scientific_definition,unit,source_dataset,extraction_buffer,expected_direction_of_concern,is_monotonic,variable_type,missing_value_meaning,zero_value_meaning,suitable_for_profile_construction,exclusion_reason,provenance_status
structure_open_road_length_m,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: structure open road length m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_tunnel_length_m,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure tunnel length m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_bridge_length_m,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure bridge length m across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_open_road_fraction,SURFACE_AND_DRAINAGE_CONTEXT,Extracted static geospatial metric: structure open road fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,-1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_tunnel_fraction,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure tunnel fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_bridge_fraction,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure bridge fraction across 100m segment buffer.,fraction [0-1],Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_dominant_type,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure dominant type across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_mixed_flag,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure mixed flag across 100m segment buffer.,metres,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
structure_boundary_crossing_flag,ROAD_STRUCTURE_CONTEXT,Extracted static geospatial metric: structure boundary crossing flag across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,True,N/A,VERIFIED_SCIENTIFIC_PROVENANCE
valid_coverage_pct,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: valid coverage pct across 100m segment buffer.,percentage,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,continuous,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
coverage_quality_flag,IDENTIFIER_OR_METADATA,Extracted static geospatial metric: coverage quality flag across 100m segment buffer.,count / text,Copernicus DEM / ESA WorldCover / GSI Lithology / NH-44 Baseline,100m bilateral corridor,1,True,categorical,NoData in source tile,Exact intersection or zero length,False,Non-physical metadata/identifier field,VERIFIED_SCIENTIFIC_PROVENANCE
